uid,block,style,t,word,phone,phone_class,nearest_transition,edge_distance_ms,right_phone,word_start,stress,phone_duration,word_fraction,envelope,slope,slope_quartile,change,change_quartile,voiced,emotion_3408,intent_3408_last,speaker_count_3408_last,emotion_3407,emotion_3409
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,0.16,he,HH,fricative,interior (>20 ms),30.0,,False,not vowel onset,0.22999999999999998,0.075,0.3122255433024504,3.4745585564702433,3,0.21574783325195312,3,True,0,0,0,0,0
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,0.32,he,HH,fricative,interior (>20 ms),40.0,,False,not vowel onset,0.22999999999999998,0.475,0.1609058873422214,5.379605762361583,3,0.1673673391342163,2,False,1,1,1,1,0
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,0.42,he,IY1,vowel,interior (>20 ms),60.0,,False,not vowel onset,0.17000000000000004,0.7249999999999999,0.9108154985826051,-0.9413419009148771,1,0.052907347679138184,1,True,0,1,0,0,0
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,0.46,he,IY1,vowel,interior (>20 ms),70.0,,False,not vowel onset,0.17000000000000004,0.825,0.8716281594517437,-0.6105353152802251,1,0.09566205739974976,2,True,0,0,0,0,0
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,0.5,he,IY1,vowel,interior (>20 ms),30.0,,False,not vowel onset,0.17000000000000004,0.9249999999999999,0.8310558088991673,-2.732721251041542,0,0.10231375694274902,2,True,0,1,0,0,0
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,0.68,wrote,R,sonorant,sonorant → vowel,20.0,OW1,False,primary,0.16999999999999993,0.12931034482758624,1.0405041808241606,3.6461407918113418,3,0.10103404521942139,2,True,1,1,1,1,1
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,0.84,wrote,OW1,vowel,interior (>20 ms),140.0,,False,not vowel onset,0.3500000000000001,0.2672413793103448,0.9169106852903365,0.9900382856915885,3,0.03907507658004761,0,True,1,1,0,1,0
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,0.92,wrote,OW1,vowel,interior (>20 ms),130.0,,False,not vowel onset,0.3500000000000001,0.3362068965517242,0.6916227617862557,-3.349857507404605,0,0.02268880605697632,0,True,0,1,0,0,0
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,1.02,wrote,OW1,vowel,interior (>20 ms),30.0,,False,not vowel onset,0.3500000000000001,0.4224137931034483,0.21824989649836254,-4.543357680753339,0,0.12678533792495728,2,True,1,1,0,0,1
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,1.18,wrote,T,stop/affricate,interior (>20 ms),130.0,,False,not vowel onset,0.6399999999999999,0.5603448275862069,0.1204423202112236,1.3052356846193367,3,0.08505034446716309,1,False,1,1,0,0,1
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,2.04,gulliver's,G,stop/affricate,stop/affricate → vowel,20.0,AH1,False,primary,0.08000000000000007,0.07317073170731715,0.8477885575039167,21.553287955212575,3,0.17002928256988525,2,True,1,1,1,1,1
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,2.12,gulliver's,AH1,vowel,vowel → sonorant,20.0,L,False,not vowel onset,0.08000000000000007,0.17073170731707335,1.4949626013115545,-8.9681669788162,0,0.06332296133041382,1,True,1,1,0,1,1
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,2.16,gulliver's,L,sonorant,vowel → sonorant,20.0,L,False,not vowel onset,0.11999999999999966,0.21951219512195147,0.952016140995625,-13.55120494985538,0,0.19452708959579468,3,True,0,0,0,0,0
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,2.2,gulliver's,L,sonorant,interior (>20 ms),60.0,,False,not vowel onset,0.11999999999999966,0.26829268292682956,0.6749994650373576,1.9689640301532585,3,0.1549699902534485,2,True,1,1,0,0,0
